term,tfidf
love,0.6046213553982326
macb,0.3819868325251041
haue,0.34016345670118764
shall,0.2650624475649206
time,0.24568515718455786
enter,0.22584622944914917
yet,0.22559120493700294
beauty,0.21704356347628864
st,0.19583352857589204
mine,0.19056542706869486
vpon,0.17286995340552158
macbeth,0.17286995340552158
make,0.17223304667390021
like,0.16472559873581466
heart,0.16366407469916303
macd,0.1617170531858105
vs,0.15892882813088274
one,0.1583461310387151
would,0.15147227471240388
see,0.14312557597564715
say,0.14310896192456357
eyes,0.1409526857490931
let,0.1406805703578619
come,0.14021940983081735
rosse,0.13662302769146062
fair,0.1364273827565243
lady,0.13383480263653283
sweet,0.13368412510007163
may,0.13341200970884043
good,0.13030018437711371
still,0.12814390820164323
well,0.12282596454119535
must,0.11774690816981151
night,0.11598533631705125
know,0.11576306307907078
eye,0.11425699256645816
king,0.11352371664818241
banquo,0.10874077714218293
though,0.10652727139039216
doe,0.10595255208725517
self,0.1034652882119162
day,0.10167048825698878
true,0.09970325721733163
selfe,0.09758787692247187
feare,0.09758787692247187
ile,0.09758787692247187
every,0.09301867006126657
life,0.09262374170412349
upon,0.08991804772589101
live,0.08991804772589101
praise,0.08681742539051547
hand,0.08533856700401843
world,0.08470497539224416
death,0.08379926838923865
give,0.08371680305513991
exeunt,0.08364675164783303
great,0.08356038110017461
new,0.0831490627263808
man,0.08289356138623317
sir,0.08085852659290525
speake,0.08085852659290525
done,0.08046516981953147
lenox,0.07807030153797749
men,0.07784773311701648
lord,0.07759223177686884
things,0.0765140936891336
nature,0.07497479507435384
even,0.07441493604901325
thus,0.07432458941149597
nothing,0.07365776969755454
might,0.07322983727267716
vp,0.07249385142812195
heere,0.07249385142812195
till,0.07056255841691142
mal,0.06970562637319419
thane,0.06970562637319419
whose,0.06969007951607309
wife,0.06965685141390594
thought,0.06946780627809261
truth,0.06881760061523476
old,0.0683730541392738
dear,0.06821369137826215
made,0.06770623442533236
name,0.0672616879493714
giue,0.06691740131826641
looke,0.06691740131826641
banq,0.06691740131826641
best,0.06661148228651355
blood,0.0652612288075471
since,0.0648499104337533
take,0.06438874990670876
sleepe,0.06412917626333865
face,0.0637385442438509
